,ACTA2+_Myoepi,B_Cells,CD163+_Macrophage,CD4_T,CD8_T,CRABP2+_Malignant,ECM1+_Malignant,Fibroblast,IRF7+_DC,KRT15+_Myoepi,LAMP3+_DC,Macrophage,Mast_cells,Plasma,SCGB2A2+_Malignant,STAB2+_Endothelial,VWF+_Endothelial
ACTA2+_Myoepi,3.439732139077875e-08,1.2292724399875058e-09,2.2900038826287594e-09,2.2508520604683807e-09,6.973670965786538e-09,3.5470817526559294e-08,4.383593304645071e-10,1.0227655376540691e-08,1.4940549083994574e-09,5.092540500123961e-08,4.3740054434984084e-09,1.0301440819028912e-08,3.954397095399048e-09,3.050720572720048e-09,1.4562661866347997e-08,3.674622176400401e-10,6.228972755752177e-09
B_Cells,6.774315454029374e-10,1.8529883750768282e-08,1.0051830794100757e-08,2.0285974774272687e-08,1.0536879499302467e-08,2.0378717868078858e-10,2.486381114099056e-10,4.721160517003203e-09,1.730039600263168e-08,3.538100306053734e-10,1.2224652070842241e-08,1.0138329861667498e-08,6.48986513828995e-09,9.400234656805965e-09,1.4108677571405879e-10,6.0255531037424996e-09,3.862702787023402e-09
CD163+_Macrophage,2.185829097155741e-09,1.9076954114075427e-08,1.6946278102324244e-08,1.7074332695458202e-08,1.378344058225825e-08,1.155692638980504e-09,1.9384915226352363e-09,3.4147991050437685e-08,2.272035786276858e-08,1.0970765342048847e-09,1.0169359292369211e-08,1.7124116436104312e-08,2.7691175779017607e-08,2.0898475921322467e-08,1.5286602633872325e-09,2.3130215501871473e-08,2.110803367391862e-08
CD4_T,1.1542135319264173e-08,8.051328377710534e-08,4.578780741039642e-08,3.143201743317045e-08,6.494768172049834e-08,3.844718371147189e-09,6.2569089757845524e-09,2.81158059214377e-08,6.700673144857391e-08,2.404913225333245e-09,8.263256880802374e-08,5.208589576908019e-08,4.319663547386765e-08,4.879791777129288e-08,2.8919605172781703e-09,3.559245612350278e-08,4.1000973738287634e-08
CD8_T,1.2802047842108016e-08,2.7879264961685205e-08,1.8311308354422342e-08,3.366422337398813e-08,1.5664307135600584e-08,5.705949865230989e-09,5.77235509794072e-09,1.8360328718605966e-08,2.6565564634399965e-08,7.851948026894265e-09,2.479507725382768e-08,3.1631552834141355e-08,1.491638098133686e-08,2.476369885905555e-08,3.7098661401702763e-09,1.486059028004665e-08,1.9474052318805463e-08
CRABP2+_Malignant,5.495540911488712e-08,6.751061293165278e-10,1.5784167786874231e-09,2.144762347252619e-09,6.535945134364303e-09,4.5060579961332854e-08,6.195715792113258e-09,6.058201488433349e-09,9.505999581824195e-10,3.0923237231678875e-08,1.205311762335619e-09,9.719768008667621e-09,6.148377280157633e-09,1.9708448441122484e-09,1.5852517390078986e-08,4.281085683059998e-10,8.584749776529923e-09
ECM1+_Malignant,3.3565673420491032e-09,2.1364576869864194e-09,8.540877855188955e-09,7.781320354714402e-09,1.4694436937604861e-08,2.5495956541885233e-08,4.62994339408088e-08,2.9591548307591104e-08,7.92072208784081e-09,1.6429528234283534e-09,9.125103159958568e-09,2.972678637925509e-08,7.856693616739289e-09,7.717126883490672e-09,2.681354742685419e-09,2.36060773740179e-08,3.159430762034273e-08
Fibroblast,3.00082146813832e-08,2.7712864570987832e-08,7.213954501031362e-08,2.591407258739111e-08,3.40401282335562e-08,1.2595698495688871e-08,2.4948958913819017e-08,3.009037250263645e-08,3.2613045378670394e-08,6.59496269699228e-09,2.5453704202955e-08,3.706483614349698e-08,5.8621421492332075e-08,4.61510733416017e-08,1.0871198387792744e-08,6.327141395706696e-08,5.6106933949824064e-08
IRF7+_DC,1.8007611351126492e-10,4.40877337979137e-09,2.3566404262522182e-09,3.132375685548816e-09,1.7410762083428735e-09,5.7148647365373165e-11,2.284918265035512e-10,1.0381909194421859e-09,4.480636183441252e-09,3.592793810940367e-11,2.2305531332825017e-09,1.9246320598686796e-09,1.5373419272888307e-09,2.3558155067985003e-09,3.615458337208135e-11,2.0997569285958956e-09,1.2810562271850472e-09
KRT15+_Myoepi,1.9038471833564e-08,1.7812252888720201e-10,4.587066305508729e-10,4.73665199591327e-10,2.4057105536678075e-09,7.586813505018308e-09,1.3356286774428224e-10,9.97798221805621e-10,1.4343548048623667e-10,4.395570355225744e-08,1.812548964158797e-09,4.882685036384782e-09,4.6502934972454115e-10,3.5222436209531816e-10,1.6482079495223272e-08,2.936580265542095e-11,1.5627022204931365e-09
LAMP3+_DC,2.1869738930549715e-10,1.1394740215695356e-09,3.675464910660336e-10,1.9145464776482314e-09,8.021148163307429e-10,3.8237041838900863e-11,6.174563861123495e-11,2.4007438363049855e-10,9.314203484340236e-10,1.3294706378289438e-10,4.030152308320019e-09,6.437956537243974e-10,3.2129044866482836e-10,5.991959636317459e-10,6.873520078379425e-11,2.5796677740043535e-09,4.65391416178377e-10
Macrophage,1.978031695263631e-08,2.599131270621923e-08,2.5836281143774185e-08,2.6643767803871634e-08,2.980899027293057e-08,8.826069954417957e-09,1.2276962692536948e-08,2.201667216750179e-08,2.3828998844813473e-08,1.8222831238590278e-08,2.7514464750035095e-08,2.0046872913739988e-08,2.1900306397384137e-08,2.4346223812340473e-08,1.0469103011230198e-08,2.231577666490014e-08,2.3531679865239195e-08
Mast_cells,4.2941401057093406e-10,1.2609852161758016e-09,2.6814408183292777e-09,1.6481707307342329e-09,1.175228938162614e-09,1.948707406334445e-10,1.1443871856918902e-10,3.1484124838590256e-09,1.8625134916006262e-09,1.311749526726061e-10,1.1497587916903884e-09,1.2234226258284788e-09,2.442909155980221e-09,2.436646397102982e-09,1.496619681432668e-10,2.9782613298633667e-09,1.8919113639905056e-09
Plasma,2.3542251652932387e-09,1.1656636937971024e-08,1.58920383271125e-08,1.1203941198970001e-08,1.265787416573734e-08,7.955414290651583e-10,1.3451985507642628e-09,1.1574373463251209e-08,1.3747652957475135e-08,5.5564268910028e-10,8.501614994989537e-09,1.0623508722096193e-08,1.4375900502622353e-08,1.2633409074318907e-08,9.351258521270416e-10,6.351273456577486e-09,8.175889608154809e-09
SCGB2A2+_Malignant,2.9524710497909205e-08,8.264038623088957e-10,2.463165950456381e-09,1.7596460201793752e-09,5.126885352260647e-09,1.2155835731717943e-08,8.945778531675832e-10,5.602026410465817e-09,9.695330611423005e-10,7.154536668916291e-08,3.0452203057769294e-09,9.515300910627442e-09,4.2462519075885e-09,2.511107444040845e-09,5.788016774891427e-08,6.267726669088209e-10,9.103543021144728e-09
STAB2+_Endothelial,3.919007980928441e-12,1.2822045489680589e-09,1.15069282056598e-09,5.899679519381004e-10,5.664618217822426e-10,1.6223805919480795e-11,5.950779346689118e-10,1.6526984537159145e-09,9.780601118862581e-10,0.0,5.167744348807913e-09,4.452743084412028e-10,1.3435850674296958e-09,4.5458260173187683e-10,1.3093001093672933e-11,1.677498660196022e-08,7.822621049510447e-10
VWF+_Endothelial,1.628816491300127e-08,1.16351884496714e-08,1.927494881467784e-08,1.7062042517303556e-08,1.5257832268852595e-08,7.191115556866315e-09,1.1158630094490183e-08,2.08412597585189e-08,1.4847631918773569e-08,2.366644361578765e-09,1.4807738980801092e-08,1.8561705004165043e-08,2.2336733098070127e-08,1.6309519782449382e-08,6.623586782253064e-09,1.780444679879763e-08,3.455469843006558e-08
