,ACTA2+_Myoepi,B_Cells,CD163+_Macrophage,CD4_T,CD8_T,CRABP2+_Malignant,ECM1+_Malignant,Fibroblast,IRF7+_DC,KRT15+_Myoepi,LAMP3+_DC,Macrophage,Mast_cells,Plasma,SCGB2A2+_Malignant,STAB2+_Endothelial,VWF+_Endothelial
ACTA2+_Myoepi,2.898273782387275e-08,7.561329576775939e-10,1.9029584706938017e-09,1.9106195701288178e-09,5.898233947350825e-09,3.098946660166415e-08,2.58009905386179e-10,8.163194263791122e-09,8.219590616677924e-10,4.272690752371439e-08,4.291122412148782e-09,6.816879088092189e-09,4.160586562577451e-09,2.4413455208396635e-09,1.3245385919395972e-08,1.4102294836730132e-10,6.071346788230838e-09
B_Cells,3.948895945789722e-10,1.4535847318148369e-08,5.411002018037691e-09,1.3142533586642637e-08,7.143561356790111e-09,1.0542691089688564e-10,8.187003568139502e-11,3.070989189074693e-09,1.4591404263375033e-08,7.42633055100054e-10,1.2895168919722265e-08,6.081103774246262e-09,4.260099372477727e-09,6.0145287887694755e-09,5.5326630507736764e-11,3.968826293358518e-09,2.773995491113984e-09
CD163+_Macrophage,2.636929026580519e-09,1.3668617102864188e-08,1.6675777467449785e-08,1.4180862319194381e-08,1.4052568665783388e-08,1.0479543734746548e-09,1.0139812122639574e-09,3.438143532332388e-08,2.1637391574874802e-08,5.171621202491541e-10,9.630969203918395e-09,1.4212335790017268e-08,2.653045238981099e-08,2.3193482145546905e-08,1.55715632394996e-09,2.5612484003849864e-08,2.0241693542135207e-08
CD4_T,8.439809306536037e-09,8.55600100654849e-08,4.053956403170931e-08,4.0794885002542954e-08,5.837254995663353e-08,3.137065397966937e-09,4.244962242566413e-09,2.5424275062358177e-08,6.798231223365237e-08,1.5273753887436999e-09,9.44127139297326e-08,4.680481311916847e-08,3.145966778419312e-08,5.155613746858723e-08,2.8890398029462913e-09,3.823174596539318e-08,3.443848358192124e-08
CD8_T,9.497344057891692e-09,2.261030970726582e-08,1.43759161740782e-08,2.856603514936008e-08,1.6383100666574445e-08,3.7186671429324608e-09,2.878610591882257e-09,1.48320120631327e-08,1.936054471046944e-08,2.9702748511169807e-09,1.940248012583697e-08,2.3134625527436446e-08,1.7873057256506556e-08,2.1291831685530157e-08,2.8095408439272064e-09,8.35037488191971e-09,1.3350691976625915e-08
CRABP2+_Malignant,4.843585228935534e-08,4.566601164305327e-10,1.1140125718133299e-09,1.6285045090199847e-09,4.133125801373358e-09,5.2752774802299705e-08,4.531896555824135e-09,4.6643207486362655e-09,9.67207693498917e-10,2.383095173258409e-08,1.0723218787911349e-09,7.565114592197987e-09,1.871492761923164e-09,1.3381180250603043e-09,9.7206548580962e-09,6.977021332371453e-10,5.796339200739114e-09
ECM1+_Malignant,1.4654627178974272e-09,1.5723426856461834e-09,4.652916887437502e-09,4.6997557293709185e-09,8.942763897035865e-09,1.7893564937181924e-08,5.760791135154335e-08,2.7149166887109782e-08,3.9999431408915895e-09,5.535173954003301e-10,2.282468667158002e-09,2.5113859156484834e-08,4.913993738413335e-09,7.177977429779801e-09,2.335747539829579e-09,1.3707765610739095e-08,2.579180901255632e-08
Fibroblast,3.135579720558428e-08,2.873340464151905e-08,7.315080550476918e-08,2.754206504593525e-08,3.76435963518761e-08,1.1840568748095842e-08,2.642884370315238e-08,2.830962541530312e-08,3.371182899769364e-08,4.480354334067804e-09,2.6972726648087498e-08,4.215656039014676e-08,6.713207586865703e-08,4.6575099901481946e-08,9.926287264125985e-09,6.922917106295543e-08,5.085168854730598e-08
IRF7+_DC,1.1557368961935738e-10,4.129169238279515e-09,2.5642778009830267e-09,2.9660787686666356e-09,1.8202562575529518e-09,5.2340188553986814e-11,4.9874553223567794e-11,9.645595796199757e-10,7.487391997774474e-09,2.0970435839222312e-11,4.529594756448851e-09,1.831673772821778e-09,1.7390997119789827e-09,2.252703023415653e-09,4.73268964867665e-11,9.18407466353962e-10,1.3377136128049453e-09
KRT15+_Myoepi,1.9580887734359118e-08,2.130685490439812e-10,2.326002515485996e-10,2.9729862455465803e-10,1.2124746573086135e-09,6.872636182783495e-09,8.932970976243574e-11,7.904141452005555e-10,8.090500404590464e-11,3.9016986154961965e-08,2.2475759528223565e-09,4.50214279338077e-09,3.5555440960549614e-10,2.2486028166498767e-10,1.6257059261887205e-08,3.018379020406633e-11,5.83627208707718e-10
