,ACTA2+_Myoepi,B_Cells,CD163+_Macrophage,CD4_T,CD8_T,CRABP2+_Malignant,ECM1+_Malignant,Fibroblast,IRF7+_DC,KRT15+_Myoepi,LAMP3+_DC,Macrophage,Mast_cells,Plasma,SCGB2A2+_Malignant,STAB2+_Endothelial,VWF+_Endothelial
ACTA2+_Myoepi,3.1957755069566146e-08,6.784097784961033e-10,1.9525174060588728e-09,1.6668206257570426e-09,6.049881547769519e-09,2.8801710971385784e-08,2.389398820589693e-10,7.02546765792984e-09,8.304164151499586e-10,4.421017786594788e-08,1.541662536582991e-09,6.053508205882237e-09,4.62116920365895e-09,1.8337717914732673e-09,1.2963063863200995e-08,1.9412019606526453e-10,6.2810772252373855e-09
B_Cells,2.4836095689488195e-10,1.0897257292504074e-08,4.6223810161822185e-09,1.0764504157857914e-08,5.640791221400268e-09,8.959525443685327e-11,8.594345288480718e-11,1.757519552440684e-09,1.3259131945085516e-08,1.1342754104810779e-09,7.001515465844592e-09,4.3488687185171875e-09,4.5705815894586e-09,5.555753063238573e-09,4.533809879854542e-11,3.841985342112784e-09,1.6369300088932333e-09
CD163+_Macrophage,2.9301363889449256e-09,1.934377382280417e-08,1.7539009443834516e-08,1.5933946028318103e-08,1.2261043526498788e-08,1.1178581785819612e-09,1.1479009817121792e-09,3.2485880918486184e-08,2.7353534264624976e-08,5.966816129844222e-10,7.836395797296703e-09,1.623917707725202e-08,3.006226891103533e-08,2.581286142065542e-08,1.868068430332264e-09,3.059168945955234e-08,1.7326232431866846e-08
CD4_T,7.0486226157973e-09,8.874313491734489e-08,3.786592313189511e-08,4.168588246839232e-08,6.349326581224559e-08,2.7353308975879668e-09,3.828575685963486e-09,2.210908599283237e-08,6.864723534023074e-08,9.134791230830444e-10,1.1437258186159046e-07,4.5597179831885055e-08,3.7940196979578255e-08,4.797224391507128e-08,2.4416914268334476e-09,2.7566135019273993e-08,3.337901632716442e-08
CD8_T,8.936771739968688e-09,2.492180369075413e-08,1.2910215887439885e-08,3.048716961673057e-08,1.6276416691619947e-08,2.802683949236442e-09,2.354310365156685e-09,1.3488184801012268e-08,1.640912110574749e-08,2.594388685654789e-09,1.231669066388731e-08,2.2598370082794963e-08,2.0172339514988107e-08,2.5438972683756075e-08,2.1500895643850698e-09,7.698846257552503e-09,1.2523565751797397e-08
CRABP2+_Malignant,5.609347034445222e-08,7.008975232615475e-10,1.318268904976131e-09,1.3967506198199522e-09,3.982321634884217e-09,5.507593951653262e-08,4.5558585658049755e-09,5.184745474380489e-09,9.475506357945772e-10,2.424835109104497e-08,7.546996740285711e-10,7.884206008287896e-09,3.551736409992318e-09,1.4791540143280045e-09,1.2375360878165212e-08,4.814626961777614e-10,4.9917950305813984e-09
ECM1+_Malignant,1.7197133992097316e-09,1.1702516320152775e-09,3.6822147799582295e-09,3.8580924683310795e-09,6.0247908222815885e-09,1.9468910811676364e-08,5.2676530398520966e-08,3.102956340708579e-08,2.3895917008299024e-09,4.5543265096375466e-10,3.2369198690269883e-09,2.2453072762505768e-08,3.738151905113623e-09,6.469700961047699e-09,1.249437603989465e-09,1.65761737961768e-08,2.1693962067849592e-08
Fibroblast,3.161687663966765e-08,2.2902576785655954e-08,7.514740908133048e-08,2.6395059935329814e-08,3.7290463443222586e-08,1.2107103363890127e-08,2.935363137779106e-08,3.187352295779309e-08,3.4183135765694255e-08,3.313017422019116e-09,2.341310591097365e-08,5.16981708430124e-08,6.065766485037428e-08,4.514827141102795e-08,1.081564036080831e-08,8.319792655673087e-08,5.906106428938725e-08
IRF7+_DC,2.1304086336247503e-10,4.167753087222892e-09,2.661088557254145e-09,3.140075695913425e-09,1.274361332627182e-09,4.7363678970490076e-11,3.681108930880484e-11,9.002565012853926e-10,7.165412643175715e-09,2.441655713408855e-11,4.572150329155367e-09,1.6083999803262058e-09,1.902136390314442e-09,2.607361825739605e-09,2.743713479574879e-11,1.7570388787433744e-09,7.70956418670396e-10
KRT15+_Myoepi,2.1433788044251817e-08,4.054604096244561e-10,2.2038209241939992e-10,1.9326600534601604e-10,8.781003793986853e-10,6.724740846908881e-09,5.432570368857844e-11,6.562157582118071e-10,1.8854808224611986e-10,3.673916559603431e-08,2.1525775642355255e-10,5.033826276619367e-09,7.052276489745205e-10,3.5614588164067677e-10,1.744387954478718e-08,0.0,7.266166128126454e-10
